City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
297,magdagachi,53.45,125.8,246.08,100,37,0.61,RU,1707523835
298,sisimiut,66.9395,-53.6735,256.38,90,100,4.65,GL,1707523836
299,enewetak,11.3474,162.3373,299.69,82,98,10.04,MH,1707523836
300,pochep,52.9336,33.4464,263.89,95,100,2.33,RU,1707523836
301,isiro,2.7739,27.616,294.03,48,12,0.41,CD,1707523837
302,ivdel',60.6911,60.4206,264.28,95,100,3.58,RU,1707523837
303,pocone,-16.2567,-56.6228,300.16,73,79,1.17,BR,1707523837
304,holualoa,19.6228,-155.9522,297.35,75,40,4.12,US,1707523838
305,nikolayevsk-on-amure,53.1406,140.73,256.15,94,82,1.27,RU,1707523838
306,madinat ash shamal,26.1293,51.2009,290.77,66,50,2.93,QA,1707523839
307,kerema,-7.9631,145.7785,301.55,68,100,0.26,PG,1707523839
308,jogeva,58.7467,26.3939,256.42,97,8,1.12,EE,1707523840
309,las heras,-46.5419,-68.9359,295.6,29,6,6.68,AR,1707523840
310,nahavand,34.1885,48.377,276.06,58,100,1.45,IR,1707523840
311,hanzhong,33.0728,107.0303,277.6,78,5,0.94,CN,1707523840
312,fortuna,40.5982,-124.1573,284.25,75,100,4.12,US,1707523841
313,stuttgart,48.7823,9.177,283.43,94,100,1.03,DE,1707523841
314,al bawiti,28.3492,28.8659,284.73,39,3,1.76,EG,1707523639
315,bayanhongor,46.7167,100.1167,250.92,77,12,1.57,MN,1707523842
316,kapit,2.0167,112.9333,296.83,98,100,0.41,MY,1707523765
317,nova sintra,14.8667,-24.7167,294.32,70,0,7.64,CV,1707523842
318,uttar char fasson,22.2332,90.7132,289.47,57,7,4.17,BD,1707523843
319,guozhen,34.3659,107.359,276.17,55,5,2.34,CN,1707523843
320,villa gesell,-37.2639,-56.973,296.51,94,100,7.34,AR,1707523844
321,black river,18.0264,-77.8487,296.69,68,3,1.19,JM,1707523844
322,constantia,44.1833,28.65,280.76,78,71,3.61,RO,1707523845
323,naze,28.3667,129.4833,286.58,55,98,5.27,JP,1707523845
324,karukh,34.4811,62.5863,279.29,33,0,0.9,AF,1707523846
325,kismayo,-0.3582,42.5454,300.09,84,51,6.88,SO,1707523846
326,nouadhibou,20.931,-17.0347,292.81,68,25,6.78,MR,1707523847
327,crane,31.3974,-102.3501,289.7,21,100,2.23,US,1707523848
328,palmer,42.1584,-72.3287,280.49,68,75,4.12,US,1707523804
329,mahina,-17.5065,-149.489,301.9,94,75,8.23,PF,1707523848
330,bontang,0.1333,117.5,297.85,93,100,2.55,ID,1707523849
331,fort st. john,56.2499,-120.8529,267.96,79,59,1.53,CA,1707523849
332,mikhaylovskoye,51.8239,79.7172,275.59,68,100,12.32,RU,1707523850
333,bredy,52.4153,60.3411,256.29,90,10,6.3,RU,1707523850
334,port alfred,-33.5906,26.891,292.14,78,66,3.58,ZA,1707523850
335,athi river,-1.4507,36.9824,291.86,88,20,3.09,KE,1707523850
336,lepsy,46.235,78.9456,271.54,81,63,3.65,KZ,1707523850
337,diapaga,12.0708,1.7889,297.18,11,14,2.95,BF,1707523851
338,malabar,-33.9667,151.25,296.84,68,75,9.26,AU,1707523851
339,varna,43.2167,27.9167,281.23,87,86,1.54,BG,1707523851
340,nar'yan-mar,67.6713,53.087,253.77,90,62,5.36,RU,1707523851
341,kailua-kona,19.6406,-155.9956,299.42,75,40,4.12,US,1707523851
342,zarand,30.8127,56.564,279.4,22,5,0.27,IR,1707523852
343,chimore,-16.9833,-65.1333,297.78,95,80,0.17,BO,1707523852
344,flin flon,54.7682,-101.865,262.37,96,100,1.06,CA,1707523852
345,bakchar,57.0186,82.0711,270.73,98,100,1.26,RU,1707523852
346,iguape,-24.7081,-47.5553,298.68,92,98,5.25,BR,1707523852
347,villa emilio carranza,19.9667,-96.6,296.46,86,13,4.87,MX,1707523853
348,jiuquan,39.7432,98.5174,270.68,40,0,3.04,CN,1707523853
349,south hedland,-20.4089,118.5983,305.11,51,0,4.12,AU,1707523853
350,abeche,13.8292,20.8324,293.95,13,13,3.14,TD,1707523853
351,gombi,10.1614,12.7399,293.03,25,3,1.72,NG,1707523853
352,bengkulu,-3.8004,102.2655,297.72,91,99,1.65,ID,1707523854
353,pavlovsk,50.4578,40.1081,269.78,90,100,1.67,RU,1707523854
354,lompoc,34.6391,-120.4579,289.83,59,0,7.2,US,1707523854
355,fredericton,45.9454,-66.6656,274.27,80,100,2.48,CA,1707523685
356,baker city,44.7749,-117.8344,276.99,62,100,8.23,US,1707523736
357,moramanga,-18.9333,48.2,293.09,99,100,0.59,MG,1707523855
358,namie,37.4833,141.0,277.91,72,10,1.56,JP,1707523855
359,sabang,5.8933,95.3214,301.83,72,61,8.67,ID,1707523855
360,tocopilla,-22.092,-70.1979,296.69,77,5,6.86,CL,1707523855
361,aswan,24.0934,32.907,288.91,33,1,4.42,EG,1707523856
362,polyarnyy,69.1989,33.4478,258.38,89,100,2.79,RU,1707523856
